[main] 2020-08-18 12:48:40.066 INFO  >>> com.zte.common.config.InitRedis - redis连接成功
[main] 2020-08-18 12:48:40.067 INFO  >>> com.zte.Application - Started Application in 4.786 seconds (JVM running for 6.021)
[main] 2020-08-18 12:50:08.395 INFO  >>> com.zte.Application - Starting Application on 7TAV70GMCNQG825 with PID 8696 (C:\yswwork\svnproject\wenlv\wenlv\target\classes started by Administrator in C:\yswwork\svnproject\wenlv\wenlv)
[main] 2020-08-18 12:50:08.399 INFO  >>> com.zte.Application - The following profiles are active: dev
[background-preinit] 2020-08-18 12:50:08.611 INFO  >>> org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
[main] 2020-08-18 12:50:09.941 INFO  >>> org.apache.catalina.core.StandardService - Starting service Tomcat
[main] 2020-08-18 12:50:09.942 INFO  >>> org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.5
[localhost-startStop-1] 2020-08-18 12:50:10.126 INFO  >>> org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
[localhost-startStop-1] 2020-08-18 12:50:10.129 INFO  >>> org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/wenlv/rest] - Initializing Spring embedded WebApplicationContext
[main] 2020-08-18 12:50:11.479 INFO  >>> springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
[main] 2020-08-18 12:50:11.954 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
[main] 2020-08-18 12:50:11.972 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
[main] 2020-08-18 12:50:11.999 INFO  >>> springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
[main] 2020-08-18 12:50:12.435 INFO  >>> org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8092"]
[main] 2020-08-18 12:50:12.442 INFO  >>> org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-8092]
[main] 2020-08-18 12:50:12.454 INFO  >>> org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
[main] 2020-08-18 12:50:12.484 INFO  >>> com.zte.common.config.InitDataSource - 正在连接数据库。。。
[main] 2020-08-18 12:50:12.804 INFO  >>> com.zte.common.config.InitDataSource - 连接数据库完成
[main] 2020-08-18 12:50:12.845 INFO  >>> com.zte.common.config.InitRedis - redis连接成功
[main] 2020-08-18 12:50:12.845 INFO  >>> com.zte.Application - Started Application in 4.749 seconds (JVM running for 5.951)
[http-nio-8092-exec-2] 2020-08-18 12:50:23.853 INFO  >>> org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/wenlv/rest] - Initializing Spring FrameworkServlet 'dispatcherServlet'
[http-nio-8092-exec-2] 2020-08-18 12:50:24.033 INFO  >>> com.zte.common.utils.SystemUtils - AdminVo [Hash = 1579233709, adminId=1, account=test, password=null, adminName=超级管理员, mobile=654321, createTime=null, updateTime=20200730100412, salt=null, adminType=null, entId=null, serialVersionUID=1]
[main] 2020-08-18 12:51:31.713 INFO  >>> com.zte.Application - Starting Application on 7TAV70GMCNQG825 with PID 21500 (C:\yswwork\svnproject\wenlv\wenlv\target\classes started by Administrator in C:\yswwork\svnproject\wenlv\wenlv)
[main] 2020-08-18 12:51:31.716 INFO  >>> com.zte.Application - The following profiles are active: dev
